order_id,unit_price,quantity
664,189.83,26
1334,14.42,53
1098,23.36,38
119,182.39,14
77,21.76,27
144,51.93,36
870,16.53,37
254,189.75,41
1285,118.68,4
1182,119.18,4
2000,48.11,36
1759,30.97,27
296,110.43,37
632,114.25,44
371,25.1,37
1309,41.63,7
1122,143.86,37
123,125.71,32
1394,108.69,50
644,95.79,60
929,75.51,16
1627,40.05,50
500,20.96,20
1076,101.55,22
1494,92.52,39
150,28.02,27
338,152.64,10
1912,100.35,3
1971,135.3,49
1143,116.74,57
1676,66.18,45
718,120.9,38
1633,93.96,54
192,189.21,31
1428,134.51,4
1498,141.79,42
1184,198.65,53
913,60.5,25
1817,135.39,2
1927,95.03,11
1252,27.83,4
447,154.81,9
1513,53.28,26
1878,174.93,6
341,92.59,36
570,177.26,53
882,173.48,18
1447,85.98,23
1399,177.42,15
310,21.18,10
476,133.41,1
994,167.06,12
539,59.98,10
859,109.25,40
1160,67.13,9
1415,172.54,40
1342,136.86,4
936,180.41,50
1950,175.53,52
1146,81.51,26
808,25.19,41
821,17.14,5
428,90.92,8
697,122.14,7
1,115.52,35
208,190.05,40
53,18.71,14
1258,78.36,41
517,191.32,39
746,97.46,8
1739,100.17,30
984,99.35,6
296,24.93,22
1517,56.63,54
1418,36.48,2
421,190.44,34
741,33.59,35
1873,10.27,34
611,195.81,56
187,140.76,17
1062,76.51,11
729,155.53,35
1110,156.92,22
1304,48.49,52
1615,197.06,55
400,162.19,53
821,149.28,15
410,105.94,23
1498,10.65,2
1619,59.49,17
397,140.04,23
916,162.67,47
716,191.23,24
165,47.99,15
963,43.36,14
989,126.69,58
1250,168.88,31
1863,132.33,52
1318,21.53,43
246,182.41,51
1458,151.28,31
1821,39.81,51
1303,69.84,52
1938,194.47,26
949,83.27,6
1485,35.98,9
57,34.47,58
954,162.27,10
1253,166.17,31
1347,187.81,10
1124,111.92,2
30,160.87,47
1331,25.04,48
1913,32.15,56
399,166.1,14
58,54.11,19
1027,51.91,38
668,55.58,27
1709,30.56,59
1516,73.99,30
1357,118.75,58
1059,87.02,59
1799,102.82,35
311,107.08,2
1788,90.82,12
1247,5.77,52
307,38.61,31
1268,146.41,36
127,68.57,34
1087,113.31,51
1591,25.69,36
117,53.46,18
87,155.59,33
927,114.54,49
1831,182.94,29
667,124.44,33
1242,104.87,45
568,93.21,35
1654,98.22,16
1432,107.03,57
1930,185.92,60
1146,179.09,13
1721,92.27,27
250,81.51,21
149,135.88,28
150,46.47,20
1606,28.86,50
317,188.2,42
1353,76.41,17
1809,31.76,30
450,150.6,7
816,177.56,11
1368,167.33,11
1447,89.15,33
828,71.13,13
731,67.11,47
750,8.8,36
940,90.89,2
788,69.64,40
606,104.89,5
232,197.09,51
469,194.48,7
173,56.79,3
1856,156.9,18
1548,30.26,28
1740,182.73,53
1938,55.43,10
1099,184.24,37
1013,141.58,6
572,16.22,45
376,87.94,5
551,187.98,41
182,161.32,6
1246,171.96,5
542,173.24,30
24,71.13,36
856,185.7,18
1274,30.2,34
1454,51.5,8
1985,36.48,4
371,44.34,20
1288,64.48,49
422,61.54,33
1377,39.69,23
1646,8.54,17
76,7.99,47
1036,112.45,13
1054,97.58,60
916,25.72,53
1332,89.27,32
1119,167.75,26
1988,103.8,45
441,196.58,22
407,167.3,46
1493,129.02,26
712,196.47,54
266,7.78,41
1518,176.57,28
335,15.8,43
1723,79.27,33
1374,194.33,39
497,140.07,3
941,41.14,18
914,5.71,24
1970,69.14,36
663,52.67,57
634,47.48,12
3,70.39,6
973,59.39,42
412,53.39,50
11,22.72,53
184,33.05,38
86,81.83,20
624,127.79,6
1200,191.74,55
1538,35.27,58
1467,157.89,39
798,154.04,47
1013,34.15,47
1268,130.43,3
1690,167.88,58
1051,127.33,47
1436,163.38,9
1864,107.13,33
1165,167.81,52
33,166.15,38
1635,179.1,44
1959,140.2,15
175,11.08,9
1305,75.34,7
772,167.99,36
104,127.41,41
1089,137.73,32
541,5.65,52
144,150.91,33
1839,109.36,43
1078,17.88,48
971,54.18,5
1733,56.78,47
1550,45.02,48
1332,195.27,32
1732,79.6,31
1865,138.32,50
96,125.31,42
407,20.11,10
680,54.52,48
1420,64.36,37
274,7.43,4
995,57.41,44
204,139.98,44
1003,61.72,34
585,95.61,30
1572,28.11,58
1125,43.85,6
1918,97.22,19
940,19.91,33
1983,198.95,18
793,45.92,60
432,19.55,6
291,150.76,17
1952,75.11,39
1680,128.18,18
1817,26.97,24
474,102.09,57
996,81.85,11
8,190.24,44
924,84.06,47
289,86.16,25
648,28.58,22
4,68.29,22
1719,82.66,60
401,144.04,58
1516,61.52,24
134,81.62,56
1207,19.9,60
877,152.35,55
99,59.72,4
1710,134.09,41
1917,34.04,18
894,104.64,13
1584,77.8,28
1811,10.66,49
1293,83.01,57
1927,113.06,14
1474,20.71,60
1500,85.12,40
1542,32.02,56
587,99.69,59
1899,112.27,11
968,85.9,19
610,54.87,48
2000,132.3,26
1344,51.54,31
1142,135.43,8
343,130.42,5
426,102.62,52
1019,112.33,29
1857,69.9,49
922,88.35,36
395,52.6,12
701,113.4,21
490,76.82,52
1167,44.42,2
1536,174.77,25
848,150.44,14
772,57.7,49
128,102.14,37
1982,75.23,44
1031,108.2,51
1768,170.48,6
556,179.87,25
819,130.93,28
1954,65.84,53
1788,193.77,9
67,87.91,49
1835,161.83,38
1004,5.03,26
1906,185.73,53
