student_id,marks
164,14
7,94
71,31
58,17
189,13
174,94
140,11
152,54
9,3
24,27
60,64
155,3
144,25
184,83
180,69
108,28
115,75
72,103
2,97
41,89
109,43
72,19
56,97
87,13
24,48
25,45
89,77
68,103
12,93
118,68
32,118
97,10
142,37
161,79
93,73
50,90
18,5
170,29
198,37
21,109
60,110
26,48
72,58
163,106
94,20
95,45
54,85
69,89
175,82
19,77
163,21
137,93
63,20
119,48
70,118
164,88
143,28
176,41
197,99
15,29
9,103
81,51
69,8
55,116
146,112
184,40
55,83
128,50
165,58
37,33
36,31
191,71
138,33
192,74
110,114
150,51
93,28
36,65
127,11
194,6
29,19
161,20
175,54
153,8
99,48
153,59
136,32
142,110
3,87
185,14
175,113
138,96
69,98
165,43
29,37
112,20
117,0
185,112
185,33
129,97
46,64
28,111
161,38
164,64
156,25
40,47
196,20
139,99
136,117
1,76
83,62
5,14
93,112
79,30
15,30
146,10
22,93
125,104
18,97
137,98
33,16
169,60
141,21
68,67
156,54
55,118
139,96
187,88
52,91
80,51
172,83
96,56
133,57
31,31
58,8
87,2
151,70
59,75
57,0
19,90
162,7
59,8
9,110
85,9
132,30
72,85
125,27
139,16
186,119
147,73
122,31
122,103
105,24
25,12
169,55
91,54
106,59
187,6
173,83
166,12
16,51
187,43
28,31
50,24
138,57
36,54
47,35
119,31
20,56
141,12
13,83
139,107
4,11
193,108
61,21
105,62
124,27
103,115
16,21
98,0
100,33
117,36
109,89
188,100
143,84
184,62
40,24
76,27
15,74
189,69
16,95
81,7
13,74
123,64
136,20
15,65
21,108
48,8
153,8
173,110
